12/12/2008,Edmonton Oilers,Montreal Canadiens,Rick,6,3,1/4,0/0,46,35,39,51,6:46,8:56,13,23,no,,no,yes,0,8,0,0
12/12/2008,San Jose Sharks,Calgary Flames,Steve,4,3,1/2,1/2,30,38,40,46,7:01,9:07,19,17,no,,no,yes,4,4,0,0
12/19/2008,New York Rangers,Chicago Blackhawks,Steve,4,3,1/3,1/5,34,52,58,66,8:13,11:39,20,26,no,,yes,yes,10,6,0,0
12/19/2008,Pittsburgh Penguins,Detroit Red Wings,Rick,1,4,0/5,1/3,27,41,31,42,6:08,9:32,12,28,no,,no,yes,6,10,0,0
12/19/2008,Pittsburgh Penguins,Detroit Red Wings,Rick,3,2,2/3,0/5,29,41,66,45,5:22,11:04,19,19,no,,no,yes,10,8,0,0
12/19/2008,Columbus Blue Jackets,New York Islanders,Steve,4,2,0/3,1/3,32,41,44,54,6:20,8:19,22,17,no,,no,yes,6,6,0,0
1/1/2009,Chicago Blackhawks,Philadelphia Flyers,Rick,4,5,3/6,1/3,48,32,35,45,6:30,9:03,30,15,no,,no,yes,6,12,1,1
1/1/2009,San Jose Sharks,Calgary Flames,Rick,3,4,1/3,0/0,36,28,39,38,6:01,10:24,17,15,no,,no,yes,0,6,0,0
1/1/2009,Chicago Blackhawks,Buffalo Sabres,Rick,3,2,1/4,0/5,29,35,38,48,8:17,12:35,16,21,no,,yes,yes,10,8,1,0
1/9/2009,Montreal Canadiens,New York Rangers,Steve,5,3,1/1,0/2,26,28,36,42,6:32,8:34,5,18,no,rick empty net goal,no,yes,4,2,0,0
1/9/2009,Ottawa Senators,Toronto Maple Leafs,Steve,4,5,0/2,0/1,26,44,51,44,6:25,9:54,12,22,no,,no,yes,2,4,0,0
1/9/2009,Calgary Flames,Edmonton Oilers,Rick,1,4,0/2,1/2,30,32,60,42,5:02,13:14,14,13,no,,no,yes,4,4,0,0
1/9/2009,Calgary Flames,Edmonton Oilers,Rick,8,4,1/4,1/1,41,30,54,34,6:15,11:28,15,25,no,,no,yes,2,8,0,0
1/9/2009,Detroit Red Wings,Anaheim Ducks,Steve,5,7,0/3,0/1,44,37,36,54,5:59,10:00,21,17,no,,no,yes,2,8,0,0
